Observation ID,Plant ID,Date,Observer,Site,Time Arrived,Departure Time,Weather,Plant #,North Face Temp,South Face Temp,Species Code,Breaking Leaf Buds,How many buds?,Leaves?,What % of canopy is full?,Colored Leaves?,What % of Canopy is Colored?,Falling Leaves?,Fruits,How many fruit?,Ripe Fruits,What % of all Fruit are Ripe?,Recent Fruit Drop?,How many dropped fruit do you see?,Species Observed,Other Comments,General Comments
1325,GCVC5,7/21/2014,Laura Shultz,GCVC,14:15,15:00,,5,87.0,88.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,insect eaten leaves,"ungulate damage removed fruit, now only (3)",
1326,GCVC6,7/21/2014,Laura Shultz,GCVC,14:15,15:00,,6,86.0,87.5,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,insect eaten leaves,,
1327,GCVC7,7/21/2014,Laura Shultz,GCVC,14:15,15:00,,7,86.0,86.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, fence lizard on ground, silk threads",many fruits and leaves dehydrating,
1328,GCVC8,7/21/2014,Laura Shultz,GCVC,14:15,15:00,,8,82.5,85.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, elk fuzz on trunk","some fruit dehydrating/browning, some fruit emerging from bracts",
1329,GCVC9,7/21/2014,Laura Shultz,GCVC,14:15,15:00,,9,81.0,83.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,"insect eaten leaves, small flies, spiderweb","some fruit dehydrating/browning, some leaves dehydrating, fruit emerging from bracts",
1330,GCVC10,7/21/2014,Laura Shultz,GCVC,14:15,15:00,,10,87.0,91.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,insect eaten leaves,fruit emerging from bracts,
1331,SHRINE1,7/28/2014,Laura Shultz,SHRINE,11:20,11:30,"breezy, warm",1,65.5,66.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,insect eaten leaves,some fruit browning,
1332,SHRINE2,7/28/2014,Laura Shultz,SHRINE,11:20,11:30,"breezy, warm",2,67.5,68.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,insect eaten leaves,,
1333,SHRINE3,7/28/2014,Laura Shultz,SHRINE,11:20,11:30,"breezy, warm",3,68.5,67.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,insect eaten leaves,,
1334,SHRINE4,7/28/2014,Laura Shultz,SHRINE,11:20,11:30,"breezy, warm",4,64.5,63.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"insect eaten leaves, several small flies",,
1335,HQ1,7/28/2014,Laura Shultz,HQ,11:15,11:20,"breezy, warm",1,65.5,66.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,"insect eaten leaves, galls ,medium sized bee","eaten green acorns on ground by tree, some fruit dehydrating, not as large as HQ#2",
1336,HQ2,7/28/2014,Laura Shultz,HQ,11:15,11:20,"breezy, warm",2,69.5,70.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,"insect eaten leaves, small fly","fruit noticeably larger, some leaves dehydrated, new branch damage",
1337,GCVC1,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",1,75.0,77.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,3-10,No,N/A,No,<3,insect eaten leaves,,
1338,GCVC2,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",2,84.0,85.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,,fruit drying out,
1339,GCVC3,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",3,78.0,82.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,,,
1340,GCVC4,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",4,76.5,70.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1341,GCVC5,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",5,78.5,79.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,,,
1342,GCVC6,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",6,77.5,76.5,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,,,
1343,GCVC7,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",7,,,QUEGAM,No,<3,No,<5%,No,<5%,No,No,<3,No,N/A,No,<3,lightnin danger,lightnin danger,
1344,GCVC8,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",8,,,QUEGAM,No,<3,No,<5%,No,<5%,No,No,<3,No,N/A,No,<3,lightnin danger,lightnin danger,
1345,GCVC9,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",9,,,QUEGAM,No,<3,No,<5%,No,<5%,No,No,<3,No,N/A,No,<3,lightnin danger,lightnin danger,
1346,GCVC10,7/28/2014,Laura Shultz,GCVC,14:05,,"breezy, occasional thunder",10,,,QUEGAM,No,<3,No,<5%,No,<5%,No,No,<3,No,N/A,No,<3,lightnin danger,lightnin danger,
1347,SHRINE1,7/31/2014,"Laura Shultz, Jill Staurowsky",SHRINE,1:35,1:51,"overcast, cloudy, warm, humid",1,81.5,82.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"insect eaten leaves, lace bugs","elkdamage, broken off ends",
1348,SHRINE2,7/31/2014,"Laura Shultz, Jill Staurowsky",SHRINE,1:35,1:51,"overcast, cloudy, warm, humid",2,84.5,84.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,insect eaten leaves ,,
1349,SHRINE3,7/31/2014,"Laura Shultz, Jill Staurowsky",SHRINE,1:35,1:51,"overcast, cloudy, warm, humid",3,83.0,83.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
1350,SHRINE4,7/31/2014,"Laura Shultz, Jill Staurowsky",SHRINE,1:35,1:51,"overcast, cloudy, warm, humid",4,80.5,80.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"insect eaten leaves, leaf miners",,
1351,HQ1,7/31/2014,"Laura Shultz, Jill Staurowsky",HQ,1:15,1:33,"overcast, cloudy, warm, humid",1,77.5,78.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,lace bug population,,
1352,HQ2,7/31/2014,"Laura Shultz, Jill Staurowsky",HQ,1:15,1:33,"overcast, cloudy, warm, humid",2,84.5,84.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,"stellar's jay, insect eaten leaves, lace bug populations",green acorns remnants surrounding tree on ground,
1353,GCVC1,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",1,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,"small fly, insect eaten leaves, miners","can no longer find fruit on west side of tree, (1) on east side",
1354,GCVC2,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",2,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, silk threads, galls",ealk broke (1) of (2) main branches down and ate all leaves and fruit off it,
1355,GCVC3,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",3,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,insect eaten leaves,ungulate damage,
1356,GCVC4,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",4,,,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,No,<3,No,N/A,No,<3,"insect eaten leaves, medium sized yellow fly with red eyes, ground squirrel",difficult time finding fruit on tree today,
1357,GCVC5,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",5,,,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,"insect eaten leaves, ground squirrel",,
1358,GCVC6,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",6,,,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,insect eaten leaves,,
1359,GCVC7,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",7,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, small flies","nuts emerging from bracts, many acorns have dehydrated, but alive ones larger",
1360,GCVC8,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",8,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, white moth","nuts emerged from bracts, many fruit dehydrated, ones alive larger",
1361,GCVC9,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",9,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"insect eaten leaves, spiderweb, green bugs with large wings from last year",fruit dehydrating,
1362,GCVC10,8/1/2014,Laura Shultz,GCVC,15:35,16:00,"sunny, hot, slight breeze",10,,,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,insect eaten leaves,some fruit has dehydrated,(4) California Condors at Mather Point: (2) flying adults and (2) perched juveniles
1363,GCVC1,8/4/2014,"Laura Shultz, visitors",GCVC,11:25,11:45,"cool, sunny, windy",1,69.5,71.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,,,
1364,GCVC2,8/4/2014,"Laura Shultz, visitors",GCVC,11:25,11:45,"cool, sunny, windy",2,77.5,78.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,an elk has broken the tree and eaten the leaves/fruit,
1365,GCVC3,8/4/2014,"Laura Shultz, visitors",GCVC,11:25,11:45,"cool, sunny, windy",3,72.0,72.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,,,
1366,GCVC4,8/4/2014,"Laura Shultz, visitors",GCVC,11:25,11:45,"cool, sunny, windy",4,72.5,70.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,3-10,No,N/A,No,<3,,,
1367,GCVC5,8/4/2014,"Laura Shultz, visitors",GCVC,11:25,11:45,"cool, sunny, windy",5,71.5,66.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,(2) rock squirrels,,
1368,GCVC6,8/4/2014,"Laura Shultz, visitors",GCVC,11:25,11:45,"cool, sunny, windy",6,71.5,71.0,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,(7) live and (3) old galls on tree,,
1369,GCVC7,8/4/2014,Laura Shultz,GCVC,12:45,1:00,"cool, sunny, windy",7,69.5,71.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, silk threads","some fruit dehydrated, thinned fruit crop",
1370,GCVC8,8/4/2014,Laura Shultz,GCVC,12:45,1:00,"cool, sunny, windy",8,66.0,65.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, elk hair on trunk","some fruit dehydrated, thinned fruit crop",
1371,GCVC9,8/4/2014,Laura Shultz,GCVC,12:45,1:00,"cool, sunny, windy",9,66.5,63.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"insect eaten leaves, small flies, silk threads",thinned fruit crop,
1372,GCVC10,8/4/2014,Laura Shultz,GCVC,12:45,1:00,"cool, sunny, windy",10,72.5,72.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, silk threads",thinned fruit crop,
1373,SHRINE1,8/4/2014,Laura Shultz,SHRINE,1:15,1:25,"cool, sunny, breezy",1,71.5,74.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"insect eaten leaves, lace bugs",nuts emerging from bracts,
1374,SHRINE2,8/4/2014,Laura Shultz,SHRINE,1:15,1:25,"cool, sunny, breezy",2,73.5,76.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,insect eaten leaves,,
1375,SHRINE3,8/4/2014,Laura Shultz,SHRINE,1:15,1:25,"cool, sunny, breezy",3,75.5,73.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,insect eaten leaves,some leaves dehydrating,
1376,SHRINE4,8/4/2014,Laura Shultz,SHRINE,1:15,1:25,"cool, sunny, breezy",4,67.5,69.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,insect eaten leaves,fruit still relatively small,
1377,HQ1,8/4/2014,Laura Shultz,HQ,1:27,,"cool, sunny, breezy",1,71.0,72.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"insect eaten leaves, lace bugs","thinned fruit crop, some dehydrated",
1378,HQ2,8/4/2014,Laura Shultz,HQ,1:27,,"cool, sunny, breezy",2,75.5,75.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,insect eaten leaves,"MANY green acorns eaten on ground, empty bracts on tree",
1379,SHRINE1,8/7/2014,Jill Staurowsky,SHRINE,8:13,8:35,warm,1,65.5,64.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
1380,SHRINE2,8/7/2014,Jill Staurowsky,SHRINE,8:13,8:35,warm,2,70.0,61.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,3-10,No,N/A,No,<3,insect eaten leaves,,
1381,SHRINE3,8/7/2014,Jill Staurowsky,SHRINE,8:13,8:35,warm,3,64.5,65.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1382,SHRINE4,8/7/2014,Jill Staurowsky,SHRINE,8:13,8:35,warm,4,64.5,63.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,leaf miner,,
1383,HQ1,8/7/2014,Jill Staurowsky,HQ,8:01,8:10,warm,1,66.5,90.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,lace bugs,,
1384,HQ2,8/7/2014,Jill Staurowsky,HQ,8:01,8:10,warm,2,74.0,98.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
1385,SHRINE1,8/14/2014,Laura Shultz,SHRINE,2:10,2:20,"warm, sunny, breezy",1,79.5,75.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,large unfuzzy bee (black and yellow),"many fruit died, desiccated",
1386,SHRINE2,8/14/2014,Laura Shultz,SHRINE,2:10,2:20,"warm, sunny, breezy",2,72.0,74.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,<3,No,N/A,No,<3,,,
1387,SHRINE3,8/14/2014,Laura Shultz,SHRINE,2:10,2:20,"warm, sunny, breezy",3,72.0,71.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1388,SHRINE4,8/14/2014,Laura Shultz,SHRINE,2:10,2:20,"warm, sunny, breezy",4,70.5,68.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,underleaf gall,"areas desiccating, leaves and fruit",
1389,HQ1,8/14/2014,Laura Shultz,HQ,2:00,2:10,"warm, sunny, breezy",1,72.5,73.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"rock squirrel, heard jay call, lace bug populations",,
1390,HQ2,8/14/2014,Laura Shultz,HQ,2:00,2:10,"warm, sunny, breezy",2,76.5,77.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,<3,Yes,>95%,No,<3,"lace bug populations, western scrub jay, dark eyed junco","leaves drying out in patches, MANY green fruit eaten on ground, could only find (1) fruit, dark brown in color",
1391,GCVC1,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",1,76.0,77.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,"rock squirrel, insect eaten leaves",,
1392,GCVC2,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",2,86.5,84.0,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,Yes,<3,No,N/A,No,<3,insect eaten leaves,,
1393,GCVC3,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",3,74.5,75.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,"silk threads, insect eaten leaves",,
1394,GCVC4,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",4,70.5,68.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,No,<3,No,N/A,No,<3,insect eaten leaves,,
1395,GCVC5,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",5,70.5,75.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,"silk threads, insect eaten leaves",,
1396,GCVC6,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",6,76.0,73.5,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,"galls on stem, insect eaten leaves",,
1397,GCVC7,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",7,68.5,67.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,insect eaten leaves,some green acorns eaten on ground,
1398,GCVC8,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",8,65.0,65.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,insect eaten leaves,some green acorns eaten on ground,
1399,GCVC9,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",9,74.0,67.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,"insect eaten leaves, silk thread",,
1400,GCVC10,8/15/2014,"Laura Shultz, Kelsey Johnson",GCVC,10:05,10:50,"warm, slight breeze",10,76.0,72.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"small black ant, insect eaten leaves",,
1401,SHRINE1,8/18/2014,Rader Lane,SHRINE,11:35,11:50,clear and warm,1,81.0,84.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
1402,SHRINE2,8/18/2014,Rader Lane,SHRINE,11:35,11:50,clear and warm,2,82.5,83.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,,,
1403,SHRINE3,8/18/2014,Rader Lane,SHRINE,11:35,11:50,clear and warm,3,85.0,85.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,nuthatch on nearby tree,,
1404,SHRINE4,8/18/2014,Rader Lane,SHRINE,11:35,11:50,clear and warm,4,83.5,81.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1405,HQ1,8/18/2014,Rader Lane,HQ,11:52,12:09,clear and warm,1,78.0,79.0,QUEGAM,No,<3,Yes,>95%,No,<5%,No,Yes,1001-10000,No,N/A,No,<3,,,
1406,HQ2,8/18/2014,Rader Lane,HQ,11:52,12:09,clear and warm,2,82.5,88.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,<3,No,N/A,No,<3,,,
1407,GCVC1,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,1,82.5,86.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,,,
1408,GCVC2,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,2,91.5,89.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,,,
1409,GCVC3,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,3,77.5,80.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,small ant,,
1410,GCVC4,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,4,79.0,78.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,silk threads,,
1411,GCVC5,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,5,82.0,83.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,,,
1412,GCVC6,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,6,84.5,80.0,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,cluster of 5 galls,,
1413,GCVC7,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,7,79.0,81.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"silk threads, mammal hair",,
1414,GCVC8,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,8,81.0,82.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1415,GCVC9,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,9,75.0,74.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,,,
1416,GCVC10,8/18/2014,Rader Lane,GCVC,12:11,12:50,35% cloud cover,10,81.0,81.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1417,SHRINE1,8/25/2014,Laura Shultz,SHRINE,13:10,13:10,"overcast, windy",1,64.5,64.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1418,SHRINE2,8/25/2014,Laura Shultz,SHRINE,13:10,13:20,"overcast, windy",2,66.5,65.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,,,
1419,SHRINE3,8/25/2014,Laura Shultz,SHRINE,13:10,13:20,"overcast, windy",3,67.0,66.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1420,SHRINE4,8/25/2014,Laura Shultz,SHRINE,13:10,13:20,"overcast, windy",4,66.5,65.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,ant,,
1421,HQ1,8/25/2014,Laura Shultz,HQ,13:20,13:25,"overcast, windy",1,65.5,65.5,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,101-1000,No,N/A,No,<3,lace bugs,,
1422,HQ2,8/25/2014,Laura Shultz,HQ,13:20,13:25,"overcast, windy",2,68.0,68.0,QUEGAM,No,<3,Yes,75-94%,Yes,<5%,No,Yes,3-10,Yes,25-49%,No,<3,lace bugs,"many empty bracts on HQ#2, eaten acorns on ground",
1423,GCVC1,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",1,68.0,66.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,3-10,No,N/A,No,<3,"silk threads, insect eaten leaves, galls at base of several leaves",,
1424,GCVC2,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",2,82.0,72.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,"(2) cottontails, mountain chipmunks, insect eaten leaves",,
1425,GCVC3,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",3,65.0,64.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,No,<3,No,N/A,No,<3,insect eaten leaves,,
1426,GCVC4,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",4,67.5,64.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,No,<3,No,N/A,No,<3,"rock squirrel, insect eaten leaves",,
1427,GCVC5,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",5,64.0,63.0,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,"rock squirrel, cottontail, insect eaten leaves",,
1428,GCVC6,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",6,72.5,64.5,QUEGAM,No,<3,Yes,5-24%,No,<5%,No,No,<3,No,N/A,No,<3,"insect eaten leaves, multiple red stem galls",,
1429,GCVC7,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",7,66.5,65.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"rock squirrel with full cheeks in neighboring tree, silk thread, insect eaten leaves, western scrub jay",,
1430,GCVC8,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",8,68.0,63.0,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,insect eaten leaves,"many green acorns (eaten) on floor, one fruit brown (but looka dehydrated, not ripe)",
1431,GCVC9,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",9,68.0,67.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,No,N/A,No,<3,"rock squirrel in neighboring tree, western scrub jay (same as #7","many green acorns (eaten) on floor, empty bracts on tree",
1432,GCVC10,8/25/2014,Laura Shultz,GCVC,8:50,9:15,"sunny, breezy",10,82.0,68.5,QUEGAM,No,<3,Yes,75-94%,No,<5%,No,Yes,11-100,Yes,<5%,No,<3,insect eaten leaves,,MANY foraging rock squirrels in both groves
1433,SHRINE1,9/2/2014,"Rader Lane, Laura Shultz",SHRINE,8:35,8:50,"clear, cool",1,67.5,68.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,,,
1434,SHRINE2,9/2/2014,"Rader Lane, Laura Shultz",SHRINE,8:35,8:50,"clear, cool",2,74.0,84.5,QUEGAM,No,<3,Yes,25-49%,No,<5%,No,Yes,<3,No,N/A,No,<3,spiderweb,,
1435,SHRINE3,9/2/2014,"Rader Lane, Laura Shultz",SHRINE,8:35,8:50,"clear, cool",3,71.0,70.0,QUEGAM,No,<3,Yes,50-74%,No,<5%,No,Yes,11-100,No,N/A,No,<3,flies of some kind on tree,ripe fruits on neighbor tree,
